번호,견적번호,매출처명,견적일자,출고희망일,비고,담당자,상태
"1","20251017-1","(주) 엠에스텍","2025-10-17","2025-10-17","","장춘만","작성중"
"3","20251015-1","(주) 와이이에스","2025-10-15","2025-10-15","","장재영","작성중"
"2","20251015-2","대우기전","2025-10-15","2025-10-15","","장춘만","작성중"
"7","20251014-1","진흥전업(주)","2025-10-14","2025-10-14","","장춘만","작성중"
"6","20251014-2","(주) 조양전기","2025-10-14","2025-10-14","","장춘만","작성중"
"5","20251014-3","현대전기","2025-10-14","2025-10-14","","장춘만","작성중"
"4","20251014-4","(주) 한길테크","2025-10-14","2025-10-14","","장춘만","작성중"
"9","20251013-1","(주)성창이앤지","2025-10-13","2025-10-13","","장재영","작성중"
"8","20251013-2","(주) 효승전설","2025-10-13","2025-10-13","","이가용","작성중"
"10","20251010-1","(주) 비전이엔지","2025-10-10","2025-10-10","","장춘만","작성중"
