SELECT * FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME = '매출처'

TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	ORDINAL_POSITION	COLUMN_DEFAULT	IS_NULLABLE	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	CHARACTER_OCTET_LENGTH	NUMERIC_PRECISION	NUMERIC_PRECISION_RADIX	NUMERIC_SCALE	DATETIME_PRECISION	CHARACTER_SET_CATALOG	CHARACTER_SET_SCHEMA	CHARACTER_SET_NAME	COLLATION_CATALOG	COLLATION_SCHEMA	COLLATION_NAME	DOMAIN_CATALOG	DOMAIN_SCHEMA	DOMAIN_NAME
YmhDB	dbo	매출처	사업장코드	1	('')	NO	varchar	2	2	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	매출처코드	2	('')	NO	varchar	8	8	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	매출처명	3	('')	NO	varchar	30	30	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	사업자번호	4	('')	NO	varchar	14	14	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	법인번호	5	('')	NO	varchar	14	14	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	대표자명	6	('')	NO	varchar	30	30	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	대표자주민번호	7	('')	NO	varchar	14	14	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	개업일자	8	('')	NO	varchar	8	8	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	우편번호	9	('')	NO	varchar	7	7	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	주소	10	('')	NO	varchar	60	60	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	번지	11	('')	NO	varchar	60	60	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	업태	12	('')	NO	varchar	30	30	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	업종	13	('')	NO	varchar	30	30	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	전화번호	14	('')	NO	varchar	20	20	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	팩스번호	15	('')	NO	varchar	14	14	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	은행코드	16	('')	NO	varchar	2	2	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	계좌번호	17	('')	NO	varchar	20	20	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	계산서발행여부	18	(1)	NO	tinyint	NULL	NULL	3	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YmhDB	dbo	매출처	계산서발행율	19	(100)	NO	money	NULL	NULL	19	10	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YmhDB	dbo	매출처	담당자명	20	('')	NO	varchar	30	30	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	사용구분	21	(0)	NO	tinyint	NULL	NULL	3	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
YmhDB	dbo	매출처	수정일자	22	('')	NO	varchar	8	8	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	사용자코드	23	('')	NO	varchar	4	4	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	비고란	24	('')	NO	varchar	100	100	NULL	NULL	NULL	NULL	NULL	NULL	cp949	NULL	NULL	Korean_Wansung_CI_AS	NULL	NULL	NULL
YmhDB	dbo	매출처	단가구분	25	(1)	NO	tinyint	NULL	NULL	3	10	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL

-- 매출처 테이블 인덱스 정보
인덱스명	인덱스타입	유니크여부	기본키여부	인덱스컬럼
PK_매출처	CLUSTERED	1	1	사업장코드, 매출처코드
